更新日期,#genre#
2026-01-11,http://183.251.61.207/PLTV/88888888/224/3221225829/index.m3u8
央视频道,#genre#
CCTV1,http://183.151.59.105:4022/rtp/233.50.200.99:5140
CCTV1,http://60.186.2.77:4022/rtp/233.50.200.99:5140
CCTV1,http://60.177.148.192:4022/rtp/233.50.200.99:5140
CCTV1,http://183.151.16.129:4022/rtp/233.50.200.99:5140
CCTV1,http://115.205.177.21:4022/rtp/233.50.200.99:5140
CCTV1,http://125.119.240.84:8888/rtp/233.50.200.99:5140
CCTV1,http://183.156.121.130:4022/rtp/233.50.200.99:5140
CCTV1,http://60.185.248.107:4022/rtp/233.50.200.99:5140
CCTV1,http://36.24.207.42:8888/rtp/233.50.200.99:5140
CCTV1,http://223.167.125.208:4022/rtp/233.18.204.52:5140
CCTV1,http://116.234.0.131:4022/rtp/233.18.204.52:5140
CCTV1,http://116.237.68.87:4022/rtp/233.18.204.52:5140
CCTV1,http://116.233.24.149:4022/rtp/233.18.204.52:5140
CCTV1,http://58.32.25.243:4022/rtp/233.18.204.52:5140
CCTV1,http://218.80.77.88:8880/rtp/233.18.204.52:5140
CCTV1,http://139.227.197.250:4022/rtp/233.18.204.52:5140
CCTV1,http://61.173.112.90:4022/rtp/233.18.204.52:5140
CCTV1,http://180.157.119.122:8889/rtp/233.18.204.52:5140
CCTV1,http://116.233.22.3:4022/rtp/233.18.204.52:5140
CCTV1,http://113.65.7.222:8888/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.26:4111/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.250:4111/rtp/239.77.1.144:5146
CCTV1,http://183.30.202.226:8000/rtp/239.77.1.144:5146
CCTV1,http://14.21.172.209:8888/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.14:4111/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.151:4014/rtp/239.77.1.144:5146
CCTV1,http://183.30.202.195:8000/rtp/239.77.1.144:5146
CCTV1,http://183.30.202.188:8000/rtp/239.77.1.144:5146
CCTV1,http://14.154.190.128:4022/rtp/239.77.1.144:5146
CCTV1,http://113.109.248.223:9999/rtp/239.77.1.144:5146
CCTV1,http://183.45.18.110:60022/rtp/239.77.1.144:5146
CCTV1,http://14.21.241.112:8888/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.151:4111/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.250:4014/rtp/239.77.1.144:5146
CCTV1,http://183.10.182.246:8188/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.14:4014/rtp/239.77.1.144:5146
CCTV1,http://183.45.18.64:60022/rtp/239.77.1.144:5146
CCTV1,http://113.101.245.77:9988/rtp/239.77.1.144:5146
CCTV1,http://14.155.233.11:8888/rtp/239.77.1.144:5146
CCTV1,http://113.83.248.153:4200/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.90:4014/rtp/239.77.1.144:5146
CCTV1,http://183.33.56.146:8686/rtp/239.77.1.144:5146
CCTV1,http://183.30.201.225:10002/rtp/239.77.1.144:5146
CCTV1,http://113.65.9.90:4111/rtp/239.77.1.144:5146
CCTV1,http://121.238.4.62:8188/rtp/239.49.8.19:9614
CCTV1,http://121.233.233.115:8800/rtp/239.49.8.19:9614
CCTV1,http://222.188.238.72:4022/rtp/239.49.8.19:9614
CCTV1,http://117.93.81.203:4000/rtp/239.49.8.19:9614
CCTV1,http://180.110.87.205:8888/rtp/239.49.8.19:9614
CCTV1,http://117.82.88.133:5555/rtp/239.49.8.19:9614
CCTV1,http://180.111.136.4:4022/rtp/239.49.8.19:9614
CCTV1,http://125.76.196.118:8989/rtp/239.112.205.231:5140
CCTV1,http://1.83.122.107:8888/rtp/239.112.205.231:5140
CCTV1,http://1.83.156.157:8888/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8015/rtp/239.112.205.231:5140
CCTV1,http://1.83.126.243:4022/rtp/239.112.205.231:5140
CCTV1,http://1.83.126.243:9022/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8020/rtp/239.112.205.231:5140
